wavelength0,Abs0,wavelength1,Abs1,wavelength2,Abs2
393,0.189221755,393,0.258184224,393,0.1621252
392,0.189630047,392,0.260283053,392,0.16382055
391,0.189764455,391,0.262840718,391,0.166046545
390,0.189816475,390,0.265063673,390,0.168243155
389,0.18974182,389,0.26833263,389,0.170694307
388,0.190526873,388,0.270417899,388,0.172080815
387,0.190498814,387,0.273107648,387,0.174719572
386,0.191071689,386,0.27592054,386,0.176358283
385,0.190485045,385,0.279707462,385,0.179731458
384,0.19098489,384,0.281669587,384,0.182018444
383,0.190955192,383,0.285043567,383,0.184523761
382,0.191909164,382,0.286755115,382,0.186647132
381,0.19127664,381,0.290234834,381,0.189422593
380,0.191700548,380,0.293576419,380,0.192392632
379,0.191520542,379,0.297270328,379,0.19562602
378,0.192242771,378,0.300159872,378,0.197542206
377,0.192595422,377,0.302587867,377,0.200642318
376,0.19240807,376,0.306128293,376,0.203928962
375,0.192809522,375,0.309028894,375,0.206935495
374,0.192670032,374,0.313490838,374,0.209818021
373,0.193261415,373,0.316248983,373,0.212763369
372,0.193034425,372,0.319664806,372,0.217184201
371,0.193552032,371,0.324037939,371,0.220115244
370,0.193949565,370,0.327839732,370,0.223124847
369,0.193501189,369,0.331469238,369,0.227853879
368,0.193994522,368,0.33507815,368,0.230884075
367,0.194544524,367,0.339097768,367,0.234995261
366,0.194643185,366,0.342931926,366,0.23883453
365,0.195032582,365,0.347070992,365,0.24257268
364,0.194491327,364,0.352172732,364,0.247586057
363,0.194780663,363,0.355985701,363,0.25262323
362,0.195766896,362,0.35968864,362,0.255099595
361,0.195168808,361,0.364254892,361,0.260571569
360,0.195765019,360,0.36863783,360,0.264119893
359,0.195920169,359,0.372448683,359,0.268463552
358,0.196277767,358,0.377372831,358,0.273484856
357,0.196100384,357,0.3811647,357,0.277737916
356,0.196648046,356,0.385831565,356,0.281334907
355,0.196380779,355,0.390643209,355,0.287117302
354,0.196890429,354,0.39513728,354,0.291075975
353,0.197389901,353,0.398444086,353,0.296138793
352,0.197162077,352,0.403651476,352,0.300136864
351,0.196819589,351,0.408092737,351,0.306503445
350,0.197025716,350,0.412370116,350,0.311502993
349,0.197445616,349,0.416330963,349,0.314832807
348,0.19719775,348,0.421883464,348,0.320187569
347,0.196651876,347,0.425814629,347,0.326884091
346,0.196512908,346,0.432295799,346,0.330622196
345,0.196560964,345,0.43825236,345,0.336166591
344,0.197248012,344,0.439577788,344,0.339818955
343,0.196493492,343,0.446606755,343,0.345707655
342,0.197154254,342,0.449542224,342,0.350798696
341,0.198765531,341,0.452511936,341,0.353418201
340,0.196920767,340,0.460959256,340,0.360661358
339,0.196616978,339,0.46459651,339,0.366177827
338,0.197195873,338,0.467482805,338,0.371153474
337,0.197376654,337,0.473325104,337,0.376745999
336,0.197679505,336,0.476750583,336,0.381737232
335,0.19726032,335,0.483400434,335,0.388275713
334,0.197437942,334,0.487231374,334,0.392444998
333,0.19644849,333,0.490739644,333,0.398689747
332,0.196540862,332,0.496499032,332,0.403443962
331,0.196407631,331,0.502512336,331,0.407876551
330,0.195715904,330,0.508600831,330,0.415188611
329,0.196076915,329,0.510080874,329,0.418743581
328,0.195239291,328,0.514677286,328,0.425715476
327,0.194378123,327,0.5209108,327,0.432342172
326,0.193004713,326,0.524522901,326,0.436449587
325,0.192475081,325,0.528925896,325,0.442880154
324,0.191895321,324,0.534645319,324,0.447864711
323,0.188481808,323,0.541972876,323,0.454953224
322,0.187728912,322,0.545487166,322,0.46066606
321,0.184041932,321,0.551472008,321,0.464949757
320,0.182134181,320,0.557248175,320,0.47219649
319,0.181297958,319,0.561923385,319,0.479438126
318,0.182844862,318,0.566782713,318,0.483468592
317,0.183025524,317,0.571235597,317,0.489630163
316,0.182856813,316,0.577057123,316,0.49557817
315,0.18269755,315,0.579261541,315,0.50157547
314,0.180247873,314,0.588414431,314,0.510599315
313,0.180961624,313,0.590147913,313,0.512067735
312,0.179985181,312,0.594771624,312,0.518633306
311,0.180127621,311,0.598421335,311,0.52373302
310,0.178281426,310,0.607709706,310,0.529803336
309,0.177479893,309,0.609957695,309,0.536602497
308,0.176038206,308,0.616282642,308,0.54291153
307,0.174076349,307,0.621925592,307,0.54992801
306,0.171823278,306,0.62819165,306,0.555685818
305,0.171457633,305,0.63190949,305,0.560305774
304,0.170860469,304,0.636364758,304,0.565728962
303,0.169625133,303,0.640490651,303,0.571897686
302,0.168559238,302,0.643376291,302,0.576393545
301,0.166683093,301,0.650316656,301,0.581659734
300,0.164489761,300,0.654117644,300,0.589436829
299,0.161290124,299,0.661901474,299,0.595983088
298,0.160042152,298,0.662877441,298,0.600492299
297,0.15851976,297,0.669503987,297,0.606970251
296,0.158057258,296,0.673822641,296,0.610307157
295,0.156360433,295,0.678750873,295,0.617935479
294,0.156162515,294,0.68109256,294,0.620675206
293,0.155252904,293,0.684909999,293,0.627309322
292,0.153659299,292,0.689845324,292,0.63079977
291,0.152734444,291,0.692550838,291,0.634259343
290,0.153565899,290,0.69420898,290,0.638403177
289,0.153551161,289,0.699473023,289,0.640249729
288,0.151413426,288,0.701986253,288,0.648638845
287,0.152086809,287,0.703676283,287,0.649677575
286,0.152377233,286,0.707338214,286,0.654798091
285,0.152082026,285,0.711983442,285,0.659333527
284,0.15416123,284,0.709518492,284,0.659603119
283,0.154537201,283,0.712695956,283,0.6613065
282,0.155890122,282,0.713467598,282,0.663150489
281,0.159302384,281,0.712531686,281,0.661082804
280,0.162683889,280,0.711179078,280,0.664055467
279,0.164895073,279,0.710944951,279,0.665478647
278,0.164244324,278,0.714318574,278,0.667366386
277,0.163067401,277,0.718502522,277,0.671497107
276,0.162095681,276,0.719891489,276,0.67247504
275,0.162315458,275,0.722313702,275,0.676644564
274,0.162890658,274,0.723003805,274,0.677915096
273,0.163869709,273,0.721895754,273,0.679119825
272,0.166947663,272,0.719565094,272,0.678459644
271,0.167623773,271,0.720310569,271,0.677380264
270,0.166369647,270,0.723569214,270,0.679534137
269,0.165987849,269,0.725452125,269,0.681855083
268,0.165097535,268,0.728009582,268,0.684163392
267,0.1648992,267,0.727762282,267,0.68520695
266,0.164746463,266,0.727652967,266,0.686987996
265,0.165489197,265,0.728865802,265,0.687362492
264,0.165809125,264,0.727417946,264,0.688460231
263,0.166284829,263,0.726799309,263,0.688536704
262,0.16694063,262,0.727522016,262,0.687880039
261,0.167102099,261,0.728528738,261,0.687738478
260,0.167567343,260,0.726921737,260,0.687921286
259,0.167001277,259,0.72921586,259,0.688267291
258,0.168360114,258,0.727244258,258,0.68807739
257,0.168101996,257,0.727063119,257,0.687072992
256,0.168529362,256,0.726955712,256,0.685468197
255,0.169576928,255,0.726549804,255,0.686004758
254,0.169581443,254,0.725294709,254,0.685990155
